Balticum Platinum
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
00:00 Humoro serialas „Prakeikta keptuvė“ (4) (Ukraina, 2025 m.) (N-7)
17:00 Humoro serialas „Prakeikta keptuvė“ (3) (Ukraina, 2025 m.) (N-7)
18:00 Humoro serialas „Prakeikta keptuvė“ (4) (Ukraina, 2025 m.) (N-7)
19:00 Romantinis draminis serialas „Sužadėtinė“ (1) (Ukraina, 2024 m.) (N-7)
20:00 Romantinis draminis serialas „Sužadėtinė“ (2) (Ukraina, 2024 m.) (N-7)
21:00 Romantinis draminis serialas „Sužadėtinė“ (3) (Ukraina, 2024 m.) (N-7)
22:00 Romantinis draminis serialas „Sužadėtinė“ (4) (Ukraina, 2024 m.) (N-7)
23:00 Komiškas draminis serialas „Kelias namo“ (1) (Ukraina, 2024 m.) (N-7)

2026-01-05 - Pirmadienis
00:00 Komiškas draminis serialas „Kelias namo“ (2) (Ukraina, 2024 m.) (N-7)
01:00 Komiškas draminis serialas „Kelias namo“ (3) (Ukraina, 2024 m.) (N-7)
02:00 Komiškas draminis serialas „Kelias namo“ (4) (Ukraina, 2024 m.) (N-7)
07:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (1) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (2) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)
11:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
12:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)
13:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
14:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
15:00 Detektyvinis serialas „Tėvas“ (1) (Ukraina, 2024 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (2) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
19:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
20:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Tėvas“ (1) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (2) (Ukraina, 2024 m.) (N-7)
23:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)

2026-01-06 - Antradienis
00:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
01:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7)
07:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (3) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (4) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (3) (Ukraina, 2024 m.) (N-7)
11:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (4) (Ukraina, 2024 m.) (N-7)
12:00 Draminis serialas „Traukinys“ (3) (Ukraina, 2024 m.) (N-7)
13:00 Draminis serialas „Traukinys“ (4) (Ukraina, 2024 m.) (N-7)
14:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
15:00 Detektyvinis serialas „Tėvas“ (3) (Ukraina, 2024 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (4) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (3) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (4) (Ukraina, 2024 m.) (N-7)
19:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
20:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Tėvas“ (3) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (4) (Ukraina, 2024 m.) (N-7)
23:00 Draminis serialas „Traukinys“ (3) (Ukraina, 2024 m.) (N-7)

2026-01-07 - Trečiadienis
00:00 Draminis serialas „Traukinys“ (4) (Ukraina, 2024 m.) (N-7)
01:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)
07:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (5) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (6) (Ukraina, 2024 m.) (N-7)
10:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)
11:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
12:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)
13:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
14:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
15:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (5) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Tėvas“ (6) (Ukraina, 2024 m.) (N-7)
18:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)
19:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
20:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
21:00 Detektyvinis serialas „Tėvas“ (5) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (6) (Ukraina, 2024 m.) (N-7)
23:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7)

2026-01-08 - Ketvirtadienis
00:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)
01:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
07:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (7) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (8) (Ukraina, 2024 m.) (N-7)
10:00 Draminis serialas „Traukinys“ (3) (Ukraina, 2024 m.) (N-7)
11:00 Draminis serialas „Traukinys“ (4) (Ukraina, 2024 m.) (N-7)
12:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (3) (Ukraina, 2024 m.) (N-7)
13:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (4) (Ukraina, 2024 m.) (N-7)
14:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
15:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (7) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Tėvas“ (8) (Ukraina, 2024 m.) (N-7)
18:00 Draminis serialas „Traukinys“ (3) (Ukraina, 2024 m.) (N-7)
19:00 Draminis serialas „Traukinys“ (4) (Ukraina, 2024 m.) (N-7)
20:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
21:00 Detektyvinis serialas „Tėvas“ (7) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (8) (Ukraina, 2024 m.) (N-7)
23:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)

2026-01-09 - Penktadienis
00:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (3) (Ukraina, 2024 m.) (N-7)
01:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (4) (Ukraina, 2024 m.) (N-7)
07:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)
08:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
09:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
10:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
11:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)
12:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
13:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7)
14:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)
15:00 Detektyvinis serialas „Tėvas“ (1) (Ukraina, 2024 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (2) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Tėvas“ (3) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Tėvas“ (4) (Ukraina, 2024 m.) (N-7)
19:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)
20:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
21:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)
22:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
23:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)

2026-01-10 - Šeštadienis
00:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
01:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
02:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
07:00 Draminis serialas „Traukinys“ (3) (Ukraina, 2024 m.) (N-7)
08:00 Draminis serialas „Traukinys“ (4) (Ukraina, 2024 m.) (N-7)
09:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
10:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
11:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7)
12:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)
13:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (3) (Ukraina, 2024 m.) (N-7)
14:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (4) (Ukraina, 2024 m.) (N-7)
15:00 Detektyvinis serialas „Tėvas“ (5) (Ukraina, 2024 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (6) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Tėvas“ (7) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Tėvas“ (8) (Ukraina, 2024 m.) (N-7)
19:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (3) (Ukraina, 2024 m.) (N-7)
20:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (4) (Ukraina, 2024 m.) (N-7)
21:00 Draminis serialas „Traukinys“ (3) (Ukraina, 2024 m.) (N-7)
22:00 Draminis serialas „Traukinys“ (4) (Ukraina, 2024 m.) (N-7)
23:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7)

2026-01-11 - Sekmadienis
00:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)
01:00 Karo drama „Taikos 21“ (Ukraina, 2023 m.) (N-14)
07:00 Detektyvinis serialas „Tėvas“ (1) (Ukraina, 2024 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (2) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (3) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Tėvas“ (4) (Ukraina, 2024 m.) (N-7)
11:00 Detektyvinis serialas „Tėvas“ (5) (Ukraina, 2024 m.) (N-7)
12:00 Detektyvinis serialas „Tėvas“ (6) (Ukraina, 2024 m.) (N-7)
13:00 Detektyvinis serialas „Tėvas“ (7) (Ukraina, 2024 m.) (N-7)
14:00 Detektyvinis serialas „Tėvas“ (8) (Ukraina, 2024 m.) (N-7)
15:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)
16:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
17:00 Draminis serialas „Traukinys“ (3) (Ukraina, 2024 m.) (N-7)
18:00 Draminis serialas „Traukinys“ (4) (Ukraina, 2024 m.) (N-7)
19:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
20:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
21:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
22:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
23:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)

2026-01-12 - Pirmadienis
00:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
01:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (3) (Ukraina, 2024 m.) (N-7)
02:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (4) (Ukraina, 2024 m.) (N-7)
07:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (9) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (10) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (5) (Ukraina, 2024 m.) (N-7)
11:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (6) (Ukraina, 2024 m.) (N-7)
12:00 Draminis serialas „Okupuotieji“ (1) (Ukraina, 2024 m.) (N-7)
13:00 Draminis serialas „Okupuotieji“ (2) (Ukraina, 2024 m.) (N-7)
14:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)
15:00 Detektyvinis serialas „Tėvas“ (9) (Ukraina, 2024 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (10) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (5) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (6) (Ukraina, 2024 m.) (N-7)
19:00 Karinis draminis serialas „Kelias“ (1) (Ukraina, 2024 m.) (N-7)
20:00 Humoro serialas „Didieji Vuikai“ (2/5-6) (Ukraina, 2020 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Tėvas“ (9) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (10) (Ukraina, 2024 m.) (N-7)
23:00 Draminis serialas „Okupuotieji“ (1) (Ukraina, 2024 m.) (N-7)

2026-01-13 - Antradienis
00:00 Draminis serialas „Okupuotieji“ (2) (Ukraina, 2024 m.) (N-7)
01:00 Humoro serialas „Didieji Vuikai“ (2/5-6) (Ukraina, 2020 m.) (N-7)
07:00 Humoro serialas „Didieji Vuikai“ (2/5-6) (Ukraina, 2020 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (11) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (12) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (7) (Ukraina, 2024 m.) (N-7)
11:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (8) (Ukraina, 2024 m.) (N-7)
12:05 Draminis serialas „Okupuotieji“ (3) (Ukraina, 2024 m.) (N-7)
13:00 Draminis serialas „Okupuotieji“ (4) (Ukraina, 2024 m.) (N-7)
14:00 Humoro serialas „Didieji Vuikai“ (2/5-6) (Ukraina, 2020 m.) (N-7)
15:00 Detektyvinis serialas „Tėvas“ (11) (Ukraina, 2024 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (12) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (7) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (8) (Ukraina, 2024 m.) (N-7)
19:05 Karinis draminis serialas „Kelias“ (2) (Ukraina, 2024 m.) (N-7)
20:00 Humoro serialas „Didieji Vuikai“ (2/7-8) (Ukraina, 2020 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Tėvas“ (11) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (12) (Ukraina, 2024 m.) (N-7)
23:00 Draminis serialas „Okupuotieji“ (3) (Ukraina, 2024 m.) (N-7)

2026-01-14 - Trečiadienis
00:00 Draminis serialas „Okupuotieji“ (4) (Ukraina, 2024 m.) (N-7)
01:00 Humoro serialas „Didieji Vuikai“ (2/7-8) (Ukraina, 2020 m.) (N-7)
07:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (5) (Ukraina, 2024 m.) (N-7)
08:00 Humoro serialas „Didieji Vuikai“ (2/7-8) (Ukraina, 2020 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (13) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Tėvas“ (14) (Ukraina, 2024 m.) (N-7)
11:00 Draminis serialas „Okupuotieji“ (1) (Ukraina, 2024 m.) (N-7)
12:00 Draminis serialas „Okupuotieji“ (2) (Ukraina, 2024 m.) (N-7)
13:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (5) (Ukraina, 2024 m.) (N-7)
14:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (6) (Ukraina, 2024 m.) (N-7)
15:00 Humoro serialas „Didieji Vuikai“ (2/5-6) (Ukraina, 2020 m.) (N-7)
16:00 Humoro serialas „Didieji Vuikai“ (2/7-8) (Ukraina, 2020 m.) (N-7)
17:00 Detektyvinis serialas „Tėvas“ (13) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Tėvas“ (14) (Ukraina, 2024 m.) (N-7)
19:00 Draminis serialas „Okupuotieji“ (1) (Ukraina, 2024 m.) (N-7)
20:00 Draminis serialas „Okupuotieji“ (2) (Ukraina, 2024 m.) (N-7)
21:00 Karinis draminis serialas „Kelias“ (3) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (13) (Ukraina, 2024 m.) (N-7)
23:00 Detektyvinis serialas „Tėvas“ (14) (Ukraina, 2024 m.) (N-7)

2026-01-15 - Ketvirtadienis
00:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (5) (Ukraina, 2024 m.) (N-7)
01:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (6) (Ukraina, 2024 m.) (N-7)
07:00 Detektyvinis serialas „Tėvas“ (15) (Ukraina, 2024 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (16) (Ukraina, 2024 m.) (N-7)
09:00 Humoro serialas „Didieji Vuikai“ (2/5-6) (Ukraina, 2020 m.) (N-7)
10:00 Humoro serialas „Didieji Vuikai“ (2/7-8) (Ukraina, 2020 m.) (N-7)
11:00 Draminis serialas „Okupuotieji“ (3) (Ukraina, 2024 m.) (N-7)
12:00 Draminis serialas „Okupuotieji“ (4) (Ukraina, 2024 m.) (N-7)
